 t       x_f             x             forCV  #SvFver_62_tbl
-1.0   0.0691932442765 -0.0113286164626	1
-0.825 0.223051530384 0.191218514986	2
-0.65  0.407965450633 0.379565282838	2
-0.475 0.613988517058 0.68881574985	6
-0.3   0.830950906233 0.775781140947	3
-0.125 1.0489061208  1.2659793823	3
0.05   1.25853797696 1.27445107552	4
0.225  1.45151332927 1.56706884946	5
0.4    1.62076923339 1.49277501962	5
0.575  1.76072679289 1.82225759312	5
0.75   1.86742757241 1.83041956054	5
0.925  1.93859202303 2.12102111723	2
1.1    1.97360271328 1.94457360686	6
1.275  1.97341816074 1.88760147225	7
1.45   1.94042561296 1.79448505541	7
1.625  1.87824315208 1.74870570611	8
1.8    1.79148294734 1.93646179977	9
1.975  1.68548832841 1.69555571448	10
2.15   1.56605760697 1.60822050428	24
2.325  1.4391672622  1.35164364556	2
2.5    1.31070628006 1.28494258671	6
